,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,13.58,10.92,24.04,21.8,5.76,28.64,23.82,5.24,30.6,
WR1,14.3,0.0,32.8,2.4,1.3,6.2,10.9,11.2,14.7,
WR2,23.1,16.4,7.9,18.9,7.0,0.0,34.7,9.0,7.1,
RB1,7.0,4.6,11.3,9.0,15.0,18.2,4.7,9.4,11.1,
RB2,9.0,16.3,23.0,4.3,5.1,7.1,15.5,18.5,0.0,
TE,0.0,20.7,35.6,15.3,13.4,20.5,10.7,9.3,4.9,
W/R/T,1.9,5.1,11.0,41.1,12.4,5.3,1.7,19.9,3.2,
BN1,29.2,0.0,1.7,13.7,12.8,0.6,0.0,11.7,3.8,4.6
BN2,0.0,11.14,12.1,2.8,13.5,7.8,0.0,0.0,0.0,6.2
BN3,11.3,19.8,0.0,0.0,3.7,24.34,16.6,10.5,6.98,17.8
BN4,7.8,3.4,6.2,5.5,0.0,7.5,16.6,24.4,7.7,16.2
BN5,9.9,0.0,9.0,12.78,4.3,0.0,6.4,0.0,0.0,13.5
BN6,3.0,1.5,16.0,9.1,10.4,0.0,4.0,9.3,11.6,9.8
BN7,,13.2,2.0,0.0,1.7,20.6,3.0,9.0,2.1,10.58
BN8,,,,,,,,,,1.2
K,12.0,13.0,6.0,6.0,0.0,7.0,5.0,10.0,15.0,
DEF,3.0,3.0,9.0,16.0,6.0,4.0,7.0,9.0,18.0,
TotalPoints,83.88000000000001,90.02,160.64,134.79999999999998,65.96,96.94000000000001,114.02000000000001,101.53999999999999,104.60000000000001,0.0
BN9,,,,,,,,,,16.46
BN10,,,,,,,,,,11.7
BN11,,,,,,,,,,5.0
BN12,,,,,,,,,,16.8
BN13,,,,,,,,,,0.9
BN14,,,,,,,,,,8.0
BN15,,,,,,,,,,7.0
